抽采地点,钻孔编号,方位角,倾角,孔深,始抽时间,始抽浓度,始抽负压,始抽混合流量
12802回风巷,1,67,1,411,2025-11-18,0.27,21,4.306
12802回风巷,2,76,2,405,2025-11-30,1.98,21.2,3.174
12802回风巷,补2,76,2,405,2025-12-03,0.4,19.21,0.739
12802回风巷,3,81,2,405,2025-12-13,34.62,14.78,0.218
12802回风巷,4,86,2,181.5,2026-12-31,8.29,12.39,0.159
12802回风巷,补4,86,2,321,2026-01-02,3.43,8.17,0.147
12803回风巷,1,69,0,477,2026-01-30,3.4,20.27,4.71
12803回风巷,2,57,0,489,2026-01-27,15.36,14.75,0.187
12803回风巷,3,54,0,489,2026-03-22,18.26,0.2,0.581
12803回风巷,4,45,0,489,2026-04-01,15.69,0,0.393